"contract_id","snp_type"
"H5577","CCP with SNP"
"H5580","CCP with SNP"
"H5587","CCP with SNP"
"H5590","CCP with SNP"
"H5591","CCP with SNP"
"H5593","CCP with SNP"
"H5594","CCP with SNP"
"H5599","CCP with SNP"
"H5608","CCP with SNP"
"H5619","CCP with SNP"
"H5628","CCP with SNP"
"H5649","CCP with SNP"
"H5652","CCP with SNP"
"H5703","CCP with SNP"
"H5774","CCP with SNP"
"H5793","CCP with SNP"
"H5810","CCP with SNP"
"H5823","CCP with SNP"
"H5826","CCP with SNP"
"H5828","CCP with SNP"
"H5852","CCP with SNP"
"H5854","CCP with SNP"
"H5859","CCP with SNP"
"H5926","CCP with SNP"
"H5928","CCP with SNP"
"H5932","CCP with SNP"
"H5937","CCP with SNP"
"H5943","CCP with SNP"
"H5969","CCP with SNP"
"H5970","CCP with SNP"
"H5989","CCP with Only I-SNP"
"H5991","CCP with SNP"
"H5992","CCP with SNP"
"H5995","CCP with SNP"
"H6154","CCP with Only I-SNP"
"H6316","CCP with SNP"
"H6345","CCP with Only I-SNP"
"H6351","CCP with Only I-SNP"
"H6396","CCP with SNP"
"H6399","CCP with SNP"
"H6446","CCP with SNP"
"H6550","CCP with SNP"
"H6595","CCP with SNP"
"H6622","CCP with SNP"
"H6672","CCP with SNP"
"H6776","CCP with SNP"
"H6832","CCP with Only I-SNP"
"H6891","CCP with Only I-SNP"
"H6959","CCP with Only I-SNP"
"H6975","CCP with SNP"
"H6988","CCP with SNP"
"H7123","CCP with SNP"
"H7149","CCP with SNP"
"H7163","CCP with SNP"
"H7173","CCP with SNP"
"H7175","CCP with SNP"
"H7284","CCP with SNP"
"H7323","CCP with SNP"
"H7464","CCP with SNP"
"H7511","CCP with Only I-SNP"
"H7518","CCP with SNP"
"H7559","CCP with SNP"
"H7678","CCP with SNP"
"H7779","CCP with Only I-SNP"
"H7802","CCP with SNP"
"H8067","CCP with Only I-SNP"
"H8087","CCP with SNP"
"H8093","CCP with Only I-SNP"
"H8125","CCP with SNP"
"H8130","CCP with SNP"
"H8170","CCP with SNP"
"H8176","CCP with SNP"
"H8189","CCP with SNP"
"H8298","CCP with SNP"
"H8379","CCP with SNP"
"H8432","CCP with SNP"
"H8457","CCP with Only I-SNP"
"H8492","CCP with Only I-SNP"
"H8552","CCP with SNP"
"H8597","CCP with SNP"
"H8797","CCP with SNP"
"H8845","CCP with SNP"
"H8849","CCP with SNP"
"H8854","CCP with SNP"
"H8908","CCP with SNP"
"H8967","CCP with Only I-SNP"
"H9001","CCP with SNP"
"H9047","CCP with SNP"
"H9065","CCP with SNP"
"H9066","CCP with SNP"
"H9082","CCP with SNP"
"H9095","CCP with Only I-SNP"
"H9104","CCP with Only I-SNP"
"H9147","CCP with SNP"
"H9153","CCP with Only I-SNP"
"H9191","CCP with Only I-SNP"
"H9207","CCP with SNP"
"H9335","CCP with SNP"
"H9364","CCP with SNP"
"H9403","CCP with SNP"
"H9455","CCP with SNP"
"H9525","CCP with SNP"
"H9585","CCP with SNP"
"H9590","CCP with Only I-SNP"
"H9725","CCP with SNP"
"H9730","CCP with SNP"
"H9811","CCP with SNP"
"H9826","CCP with SNP"
"H9861","CCP with SNP"
"H9870","CCP with SNP"
"H9877","CCP with SNP"
"H9909","CCP with Only I-SNP"
"H9942","CCP with Only I-SNP"
"H9952","CCP with SNP"
"H9955","CCP with SNP"
"R0759","CCP with SNP"
"R1548","CCP with SNP"
"R2604","CCP with SNP"
"R3175","CCP with SNP"
"R3444","CCP with SNP"
"R6801","CCP with SNP"
"Under-11","CCP with SNP"
