PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,total_grp,cnt_grp,star
230193,-0.427400403,1.0469770625,0.128919924,-0.879439465,-0.463397263,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.084415105,5,7,8,8,9,5,2,1,5,3) # of groups=5,3
230195,0.3241670297,-1.377345241,0.430455985,-1.54826674,-0.798092228,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.57338864,6,7,8,8,11,5,2,1,5,3) # of groups=5,2
230197,0.4849552323,-1.194926309,-0.348821799,-0.41017643,-0.442266261,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.376245199,7,8,9,8,11,5,2,1,5,3) # of groups=5,2
230207,0.6057097006,-0.690273153,-1.04503934,-1.392003824,-0.416385281,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.604719689,5,7,9,8,8,5,2,1,5,3) # of groups=5,2
230216,-1.006365786,0.1547633622,0.187753238,0.2719162937,-0.219364048,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.112548922,7,7,11,8,10,5,2,1,5,3) # of groups=5,3
230217,-0.25987179,1.8040264985,0.2114219082,0.4302949449,-0.566017855,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4129696011,4,4,7,8,9,5,2,1,5,3) # of groups=5,5
230222,0.1487834243,0.8474259507,-0.281012836,0.6070569993,0.0641932941,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2985989737,7,7,11,8,10,5,2,1,5,3) # of groups=5,4
230227,-0.0801923,-0.281884268,-0.43046695,-1.70024408,-0.45786099,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.60335659,7,7,11,8,10,5,2,1,5,3) # of groups=5,2
230230,-0.387700121,-0.745083622,-0.16242341,-0.607009366,-0.531509777,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.482268807,7,8,11,8,10,5,2,1,5,3) # of groups=5,2
230236,-0.486902365,1.9242688905,-0.373042395,0.5450435166,-0.244357711,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3247379571,6,7,10,8,10,5,2,1,5,3) # of groups=5,4
230239,-0.992291598,-0.440789075,0.0895428291,0.4259952838,-0.190100431,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.224671415,4,4,9,8,9,5,2,1,5,3) # of groups=5,3
230244,1.0847845008,-1.178990072,0.5764803058,-1.734705791,0.4317208389,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.223728332,6,6,8,8,8,5,2,1,5,3) # of groups=5,3
230254,0.4695930897,-1.033147284,-0.944231008,-0.0872662,-0.473526766,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.40773452,7,7,9,8,9,5,2,1,5,3) # of groups=5,2
230259,0.9530116936,1.1206586313,-0.221780268,1.4482254978,-0.40603112,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.6773016876,4,4,9,8,9,5,2,1,5,3) # of groups=5,5
230269,1.2048033947,-0.74736391,-0.018999507,-0.310623221,0.2124045178,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0536082287,7,8,11,8,11,5,2,1,5,3) # of groups=5,4
230270,0.4295951308,-1.656990494,-0.314074079,-0.721060813,-0.037108798,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.502209712,5,6,8,8,8,5,2,1,5,3) # of groups=5,2
230273,0.6107187906,-3.566576163,-0.694675864,-2.576256744,-0.602447193,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.442187459,6,6,7,8,8,5,2,1,5,3) # of groups=5,1
230277,-0.050754103,-0.197789973,0.2089430675,0.0317838406,-0.723064608,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.08848753,6,7,10,8,10,5,2,1,5,3) # of groups=5,3
230302,0.9794269017,-1.31550656,-0.173236585,-0.01345421,0.0970884611,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.103358884,6,7,10,8,10,5,2,1,5,3) # of groups=5,3
23037F,1.76415881,-1.008829959,0.5642804303,0.5299217137,-0.437101646,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3544446214,5,4,6,8,5,5,2,1,5,3) # of groups=5,4
240001,1.1971873332,0.173222181,-0.164544537,-0.228869419,-0.80469013,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.1183762073,7,7,11,8,10,5,2,1,5,3) # of groups=5,4
