PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
231325,0.700101515,-0.728026866,,1.924501979,0.232220006,0.22,0.22,0.22,0.22,0.12,0.282051282,0.282051282,0.282051282,,0.153846154,0.570658024,3,0,7,8,4,4,1,1,2) # of groups=4,4
231326,-0.082889221,-0.300837524,-12.67455474,1.092819566,-0.039062208,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-2.637089086,3,1,8,8,4,4,1,1,2) # of groups=4,1
231327,0.374936015,0.169187481,0.001586992,1.180895462,0.060557577,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.387120218,3,1,7,8,4,4,1,1,2) # of groups=4,4
231328,0.367526467,-0.447316363,,1.460427796,0.645317476,0.22,0.22,0.22,0.22,0.12,0.282051282,0.282051282,0.282051282,,0.153846154,0.488690302,3,0,5,8,4,4,1,1,2) # of groups=4,4
231329,,0.303127117,,,0.940242524,0.22,0.22,0.22,0.22,0.12,,0.647058824,,,0.352941177,0.527991378,0,0,1,0,2,0,0,0,,
231330,0.307185178,-0.552422488,,,0.238177448,0.22,0.22,0.22,0.22,0.12,,0.392857143,0.392857143,,0.214285714,-0.045305204,2,0,4,0,4,2,0,0,,
231331,-0.368143682,0.844265823,0.669733732,0.893078708,0.512192767,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.51002874,3,1,6,8,4,4,1,1,2) # of groups=4,4
231332,0.707507082,0.718615624,-4.254853593,1.862091173,0.317947991,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.174506978,3,1,6,8,4,4,1,1,2) # of groups=4,3
231333,-0.468634811,0.398275217,0.669733732,0.045911447,0.556420114,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.208733243,3,1,7,8,4,4,1,1,2) # of groups=4,3
231337,0.298727301,1.320912272,1.856757008,1.924501979,-0.880907085,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,1.082488833,4,1,8,8,7,4,1,1,2) # of groups=4,5
231338,0.426952728,0.864516374,0.329667963,1.712403237,0.427683014,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.784700828,3,2,9,8,8,4,1,1,2) # of groups=4,5
231339,-0.099698982,0.322176643,0.669733732,1.182306916,0.062672796,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.463914764,3,1,7,8,5,4,1,1,2) # of groups=4,4
240001,0.453458299,-0.027415045,0.283374482,-0.073917012,-0.309193623,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.102706925,7,7,11,8,7,5,2,1,3) # of groups=5,4
240002,1.027524965,0.453585823,0.507692963,0.191673156,0.183326763,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.501704131,7,8,9,8,7,5,2,1,3) # of groups=5,5
240004,-0.354962759,0.134889556,0.105072021,-1.520156866,-0.149589712,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.377685536,6,7,9,8,4,5,2,1,3) # of groups=5,2
240006,0.540355105,0.061632992,0.059418719,1.579519093,0.504592663,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.55355482,2,3,5,8,4,4,1,1,2) # of groups=4,4
240010,2.085400175,0.578508121,0.454710482,2.082586171,-1.515048223,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.962459302,7,8,11,8,8,5,2,1,3) # of groups=5,5
240014,0.321743828,-0.120956617,0.746923487,1.71783731,0.528582934,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.649850514,2,3,8,8,6,4,1,1,2) # of groups=4,5
240018,0.297517687,0.431602697,-0.157725656,1.563525347,0.574287631,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.538596932,3,3,9,8,7,5,2,1,3) # of groups=5,5
240019,1.098026977,0.723542349,0.184594699,0.265563822,-0.401527559,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.451596819,1,3,5,8,2,3,1,1,1) # of groups=3,4
240020,0.77099034,0.39061522,-1.018099667,1.166176803,-0.357203734,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.245265745,4,3,7,8,4,5,2,1,3) # of groups=5,4
240022,0.17366001,0.503867595,-3.681100938,0.813399069,0.244190701,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.452535454,3,2,8,8,6,4,1,1,2) # of groups=4,2
240030,-0.596213172,0.44095201,-0.404438995,0.657819345,0.396368051,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.069150388,3,5,9,8,10,5,2,1,3) # of groups=5,4
240036,0.606998494,0.218939907,-0.17752608,0.437833245,-0.283933496,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.204902005,7,8,11,8,9,5,2,1,3) # of groups=5,4
