PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010001,-0.752931688,-0.07035536,0.556127215,0.071425347,-0.050316048,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.049099513,7,8,11,8,11,5,2,1,3) # of groups=5,3
010005,-2.799407493,0.064558994,-0.114854185,0.055326665,-0.071057684,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.623289646,6,7,10,8,14,5,2,1,3) # of groups=5,2
010006,-1.98473829,-0.079649268,0.302982977,-0.966581549,-0.462671529,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.655677532,7,7,9,8,11,5,2,1,3) # of groups=5,2
010007,-2.050643034,-0.885253783,1.20036868,0.356272478,-0.642649284,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.380554159,4,2,6,8,7,4,1,1,2) # of groups=4,2
010008,-1.612518937,0.261220645,-0.002780045,,-0.867725067,0.22,0.22,0.22,0.22,0.12,,0.282051282,0.282051282,0.282051282,0.153846154,-0.515415695,3,1,4,0,8,3,1,1,1) # of groups=3,2
010011,-1.417237878,-0.844195402,-0.041873742,-0.319775476,-1.562567493,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.764586249,7,7,9,8,9,5,2,1,3) # of groups=5,2
010012,-0.578247776,-0.268760378,1.373067173,-1.128343735,0.104380936,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.119976925,5,3,7,8,10,5,2,1,3) # of groups=5,3
010016,0.913797335,0.072495931,0.731299211,-0.479031976,0.071551147,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.281069448,7,7,9,8,10,5,2,1,3) # of groups=5,4
010018,,1.096931126,0.154734264,,1.242291865,0.22,0.22,0.22,0.22,0.12,,0.392857143,,0.392857143,0.214285714,0.757931089,0,1,1,0,3,1,0,0,,
010019,-0.045074952,-1.124680469,-0.3528399,0.444529057,0.140611011,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.220301257,5,7,9,8,12,5,2,1,3) # of groups=5,3
010021,0.997415476,1.360154938,-0.538482419,0.566530934,-0.052395616,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.51854869,3,2,5,8,8,4,1,1,2) # of groups=4,4
010022,1.069918213,-0.377962243,0.924718639,,0.097454464,0.22,0.22,0.22,0.22,0.12,,0.282051282,0.282051282,0.282051282,0.153846154,0.470978141,2,2,4,0,6,2,0,0,,
010023,-1.824178544,0.039881987,-0.627253247,-0.14270182,-0.052247857,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.5682051,7,7,11,8,10,5,2,1,3) # of groups=5,2
010024,-1.243277749,-0.487583436,-0.808954771,-0.158538357,0.075526851,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.584574726,7,7,11,8,11,5,2,1,3) # of groups=5,2
010029,-1.52539755,0.202933181,0.29485508,0.297505053,-1.231616312,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.308416889,7,8,11,8,12,5,2,1,3) # of groups=5,3
010033,0.43696917,-1.081593687,-1.154908013,0.358108194,-0.827416711,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.416403359,7,8,11,8,12,5,2,1,3) # of groups=5,2
010034,1.413773791,1.005958347,1.003475793,-0.039447748,-0.629031482,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.668943462,4,2,5,8,7,4,1,1,2) # of groups=4,4
010035,-1.336596837,-0.521809176,0.226095309,-0.457898253,0.864448291,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.356112176,6,7,8,8,12,5,2,1,3) # of groups=5,3
